spotify_id,valence,danceability,energy,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,tempo,key,mode,instrumentalness,liveness,speechiness,acousticness,loudness
3bgqIMHNehAZwhjckR3gc1,0.647,0.792,0.494,5.0,7.668051948051949,4.986363636363637,6.798051948051949,97.635,0.0,1.0,0.00282,0.0513,0.115,0.0352,-12.425
3cuvHbi1A18vg58oi4CEfV,0.8809999999999999,0.643,0.42,5.0,5.93,3.91,5.917999999999999,123.712,4.0,1.0,0.0,0.143,0.0302,0.255,-12.93
755ZKbWaLvk96VNCnFO8ci,0.259,0.726,0.166,2.0,6.620000000000001,3.995,6.625,99.046,0.0,1.0,0.742,0.115,0.041,0.807,-20.91
0Z7XX7XRQ5VZm6aG6qmwcT,0.318,0.546,0.0191,5.0,7.034,2.958,6.528,105.129,0.0,1.0,8.39e-06,0.115,0.0387,0.895,-23.396
5VezGILgwg3dfdFll5G6k3,0.8390000000000001,0.833,0.665,2.0,6.29,3.21,6.25,92.044,2.0,1.0,4.44e-05,0.15,0.0744,0.152,-7.086
7qHjtTikGhp01fzKfEJRgs,0.248,0.482,0.219,2.0,3.71,1.585,3.475,119.381,9.0,1.0,0.00104,0.109,0.0355,0.618,-14.364
6anScmEgi2LUoGRD9PpFVu,0.382,0.633,0.143,12.0,6.290394736842106,3.039473684210526,6.01953947368421,114.131,11.0,1.0,1.11e-05,0.109,0.0375,0.965,-15.375
4L4gEoJVC8oqlnhq3yHxAs,0.0904,0.44,0.0541,2.0,4.76,3.33,5.3950000000000005,125.237,6.0,1.0,0.12,0.116,0.0373,0.925,-19.424
6vZBA5RNdiNWC92Zuo59y9,0.224,0.451,0.191,2.0,7.2382857142857135,2.655714285714285,7.117999999999999,88.661,5.0,1.0,8.94e-06,0.158,0.0357,0.7190000000000001,-14.711
32xwAunILC01x6u8XAnDkz,0.527,0.633,0.41,3.0,4.699999999999999,1.9933333333333327,4.65,96.282,11.0,1.0,0.0,0.105,0.0316,0.7509999999999999,-12.799
48IWmxvjgnWJ7V6eyE7qDw,0.7090000000000001,0.51,0.506,5.0,7.05077922077922,3.84961038961039,6.51038961038961,143.016,5.0,1.0,0.00409,0.117,0.0576,0.257,-13.327
4JHgcp6jdRVUHLiNGKSSMj,0.322,0.341,0.173,2.0,7.34,2.86,6.785,97.258,4.0,1.0,4.09e-05,0.125,0.0326,0.852,-17.755
5tqDIPhoNziW5ew3u4gwdS,0.752,0.65,0.7290000000000001,1.0,7.42,3.17,6.95,103.706,4.0,1.0,0.544,0.3229999999999999,0.0434,0.37,-8.641
2lbWLRnUrL5kUiJ2lbaWJI,0.374,0.499,0.404,2.0,7.945,4.61,7.08,107.674,11.0,1.0,0.0801,0.07,0.0266,0.565,-12.895
47HxKl2v3lF7zX9BYpsLbN,0.317,0.489,0.174,1.0,7.42,3.17,6.95,80.76,0.0,1.0,0.0905,0.244,0.0322,0.934,-16.559
0CZ15AP1m1lWcRz8fMuYfr,0.584,0.614,0.3,2.0,7.275,3.1049999999999995,6.525,108.069,5.0,0.0,0.000867,0.106,0.0278,0.695,-16.623
3zBhihYUHBmGd2bcQIobrF,0.535,0.769,0.3670000000000001,4.0,6.0025,3.295,6.265000000000001,103.621,2.0,1.0,1.62e-05,0.081,0.0312,0.684,-11.226
4k1nr8jShGLI8wiWSVNUNa,0.177,0.531,0.225,7.0,6.382773109243697,3.5486554621848745,5.514117647058824,94.567,0.0,1.0,0.000375,0.124,0.0284,0.524,-16.408
12BUnLZGAUBJ0KoZDaDFz7,0.493,0.731,0.337,5.0,6.628,3.582,6.382,112.904,4.0,0.0,0.000174,0.0768,0.047,0.701,-17.317
2hTLp8EWarlUWvIxL4gLjp,0.584,0.388,0.6609999999999999,2.0,7.05,3.77,6.0,143.346,1.0,0.0,0.0,0.696,0.0591,0.319,-8.147
0WbfjzHowY2PZAco1JEvis,0.7120000000000001,0.758,0.5760000000000001,4.0,7.2174999999999985,4.4625,6.415,128.214,10.0,1.0,9.57e-06,0.146,0.0417,0.589,-11.477
7peh6LUcdNPcMdrSH4JPsM,0.604,0.8420000000000001,0.384,2.0,7.71,4.265,6.435,84.02600000000002,9.0,0.0,0.000505,0.0998,0.0354,0.638,-11.384
2LhGDIwDaIw6auSyLtlWuY,0.142,0.605,0.018,2.0,4.76,3.4633333333333334,5.943333333333333,119.454,6.0,1.0,0.243,0.0938,0.0792,0.943,-22.202
26yoPdmJ5K44quYeTzxcsT,0.708,0.7509999999999999,0.527,10.0,6.322846715328468,3.96956204379562,6.147956204379562,103.03,5.0,1.0,0.00066,0.0978,0.0274,0.54,-10.933
